season,race_number,date_ymd,race_type,cancelled,cancelled_reason,report_id
2018-2019,1,22/9/18,Standard,,,3870
2018-2019,2,29/9/18,Standard,,,3901
2018-2019,3,6/10/18,Standard,,,3924
2018-2019,4,13/10/18,Standard,,,3941
2018-2019,5,20/10/18,Double Distance,,,4040
2018-2019,6,27/10/18,Standard,,,4078
2018-2019,7,3/11/18,Standard,,,4106
2018-2019,8,10/11/18,Standard,,,4114
2018-2019,9,17/11/18,Standard,,,4126
2018-2019,10,24/11/18,Standard,,,4140
2018-2019,11,1/12/18,Standard,,,4181
2018-2019,12,8/12/18,Standard,,,4191
2018-2019,13,15/12/18,Standard,,,4205
2018-2019,14,22/12/18,Standard,,,4223
2018-2019,15,29/12/18,Standard,,,4245
2018-2019,16,5/1/19,Standard,,,4251
2018-2019,17,12/1/19,Standard,,,4277
2018-2019,18,19/1/19,Standard,,,4301
2018-2019,19,26/1/19,Super Teams,,,4354
2018-2019,20,2/2/19,Standard,,,4377
2018-2019,21,9/2/19,Standard,,,4399
2018-2019,22,16/2/19,Standard,,,4428
2018-2019,23,23/2/19,Double Distance,,,4448
2018-2019,24,2/3/19,Standard,,,4483
2018-2019,25,9/3/19,Club Championships,,,4504
2019-2020,1,28/9/19,Standard,,,4948
2019-2020,2,5/10/19,Standard,,,4968
2019-2020,3,12/10/19,Standard,,,5002
2019-2020,4,19/10/19,Double Distance,,,5025
2019-2020,5,26/10/19,Standard,,,5063
2019-2020,6,2/11/19,Standard,,,5079
2019-2020,7,9/11/19,Super Teams,,,5094
2019-2020,8,16/11/19,Standard,,,5174
2019-2020,9,23/11/19,Standard,,,5208
2019-2020,10,30/11/19,Standard,,,5242
2019-2020,11,7/12/19,Standard,,,5256
2019-2020,12,14/12/19,Standard,,,5272
2019-2020,13,21/12/19,Standard,,,5300
2019-2020,14,28/12/19,Standard,,,5322
2019-2020,15,4/1/20,Standard,,,5334
2019-2020,16,11/1/20,Standard,,,5348
2019-2020,17,18/1/20,Standard,TRUE,weather,5368
2019-2020,18,25/1/20,Super Teams,,,5371
2019-2020,19,1/2/20,Standard,,,5395
2019-2020,20,8/2/20,Standard,,,5415
2019-2020,21,15/2/20,Standard,,,5453
2019-2020,22,22/2/20,Standard,,,5480
2019-2020,23,29/2/20,Double Distance,,,5495
2019-2020,24,7/3/20,Standard,,,5507
2019-2020,25,14/3/20,Standard,,,5517
2019-2020,26,21/3/20,Standard,,,5528
2019-2020,27,28/3/20,Club Championships,TRUE,COVID,
2020-2021,1,26/9/20,Standard,,,5648
2020-2021,2,3/10/20,Standard,,,5666
2020-2021,3,10/10/20,Standard,,,5677
2020-2021,4,17/10/20,Double Distance,,,5692
2020-2021,5,24/10/20,Standard,,,5704
2020-2021,6,31/10/20,Standard,,,5719
2020-2021,7,7/11/20,Standard,,,5748
2020-2021,8,14/11/20,Super Teams,,,5773
2020-2021,9,21/11/20,Standard,,,5789
2020-2021,10,28/11/20,Standard,,,5801
2020-2021,11,5/12/20,Standard,,,5808
2020-2021,12,12/12/20,Standard,TRUE,weather,5825
2020-2021,13,19/12/20,Standard,,,5828
2020-2021,14,26/12/20,Standard,TRUE,pool closure,
2020-2021,15,2/1/21,Standard,,,5840
2020-2021,16,9/1/21,Standard,,,5856
2020-2021,17,16/1/21,Standard,,,5870
2020-2021,18,23/1/21,Super Teams,,,5886
2020-2021,19,30/1/21,Standard,,,5915
2020-2021,20,6/2/21,Standard,,,5925
2020-2021,21,13/2/21,Standard,,,5934
2020-2021,22,20/2/21,Standard,,,5963
2020-2021,23,27/2/21,Double Distance,,,5976
2020-2021,24,6/3/21,Standard,,,5992
2020-2021,25,13/3/21,Standard,,,
2020-2021,26,20/3/21,Club Championships,,,6001
2021-2022,1,25/9/21,Standard,TRUE,COVID,
2021-2022,2,2/10/21,Standard,TRUE,COVID,
2021-2022,3,9/10/21,Standard,TRUE,COVID,
2021-2022,4,16/10/21,Double Distance,TRUE,COVID,
2021-2022,5,23/10/21,Standard,TRUE,COVID,
2021-2022,6,30/10/21,Standard,,,6152
2021-2022,7,6/11/21,Standard,,,6167
2021-2022,8,13/11/21,Standard,,,6193
2021-2022,9,20/11/21,Standard,,,6213
2021-2022,10,27/11/21,Standard,,,6229
2021-2022,11,4/12/21,Standard,,,
2021-2022,12,11/12/21,Standard,,,
2021-2022,13,18/12/21,Standard,,,
2021-2022,14,25/12/21,Standard,TRUE,pool closure,
2021-2022,15,1/1/22,Standard,TRUE,pool closure,
2021-2022,16,8/1/22,Standard,,,
2021-2022,17,15/1/22,Standard,,,
2021-2022,18,22/1/22,Super Teams,,,
2021-2022,19,29/1/22,Standard,,,
2021-2022,20,5/2/22,Standard,,,
2021-2022,21,12/2/22,Standard,,,
2021-2022,22,19/2/22,Double Distance,,,
2021-2022,23,26/2/22,Standard,,,
2021-2022,24,5/3/22,Club Championships,,,
